Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2018-09-01 01:20:00	6.43	284.177	18.733	-3.255	-1.097	0.028	0.05	23.74	24.611	371.167	2018-09-01 01:45:00
2018-09-01 03:45:00	6.48	312.375	20.288	-2.53	-1.998	0.828	0.05	13.52	45.471	374.583	2018-09-01 04:10:00
2018-09-02 09:00:00	6.72	308.625	23.407	1.515	-2.29	0.317	0.05	5.62	50.96200180053711	327.667	2018-09-02 09:25:00
2018-09-02 09:30:00	6.6	313.785	23.235	1.79	-2.005	0.443	0.06	9.89	43.220001220703125	322.1	2018-09-02 09:55:00
2018-09-02 11:30:00	6.12	302.135	22.464	1.747	-2.735	0.032	0.06	25.33	51.75199890136719	319.033	2018-09-02 11:55:00
2018-09-02 12:00:00	6.08	305.265	22.249	2.21	-2.452	0.177	0.02	13.06	42.034000396728516	318.217	2018-09-02 12:25:00
2018-09-02 13:00:00	6.13	272.441	21.792	2.028	-2.15	-1.123	0.03	9.03	44.055999755859375	315.783	2018-09-02 13:25:00
2018-09-02 13:30:00	6.18	279.607	21.55	1.188	-2.632	-0.937	0.06	22.82	60.90299987792969	315.0	2018-09-02 13:55:00
2018-09-02 14:15:00	6.02	259.472	21.169	2.063	-2.238	-1.793	0.09	28.76	49.09600067138672	316.317	2018-09-02 14:40:00
2018-09-02 15:15:00	5.28	230.807	20.625	2.015	-1.682	-3.728	0.09	26.93	60.49399948120117	334.6	2018-09-02 15:40:00
2018-09-03 04:35:00	5.27	295.615	7.56	1.872	-5.327	0.335	0.06	20.86	65.49400329589844	338.65	2018-09-03 05:00:00
2018-09-03 12:30:00	6.17	276.82	10.512	-0.623	-3.562	-1.595	0.07	23.66	86.319	337.017	2018-09-03 12:55:00
2018-09-03 15:35:00	5.9	231.894	14.18	4.18	-1.395	-2.762	0.07	23.30	33.64099884033203	352.183	2018-09-03 16:00:00
2018-09-05 20:45:00	6.43	275.868	12.466	3.353	-1.773	-0.258	0.06	4.66	25.63599967956543	441.55	2018-09-05 21:10:00
2018-09-05 21:15:00	6.45	282.102	11.86	3.297	-1.63	-0.052	0.08	10.26	23.99799919128418	443.65	2018-09-05 21:40:00
2018-09-07 22:20:00	6.1	267.447	23.994	2.208	-2.842	-0.808	0.03	18.23	51.18600082397461	408.117	2018-09-07 22:45:00
2018-09-08 09:35:00	6.97	297.147	18.684	1.833	-3.993	-0.335	0.09	7.69	63.03900146484375	376.767	2018-09-08 10:00:00
2018-09-08 18:20:00	5.92	271.183	9.938	-1.725	-4.338	-1.39	0.09	28.83	79.124	380.017	2018-09-08 18:45:00
2018-09-08 18:50:00	5.93	282.658	9.203	-0.78	-4.91	-0.392	0.03	21.56	88.04499816894531	377.65	2018-09-08 19:15:00
2018-09-08 19:20:00	5.85	286.865	8.424	-0.805	-4.505	0.033	0.09	18.79	88.37100219726562	385.583	2018-09-08 19:45:00
2018-09-09 09:00:00	5.6	303.809	16.221	-2.09	-5.287	0.217	0.06	14.50	70.399	375.317	2018-09-09 09:25:00
2018-09-09 09:30:00	5.3	307.855	16.654	-1.097	-5.635	0.585	0.05	11.63	80.776	377.433	2018-09-09 09:55:00
2018-09-12 07:00:00	5.5	303.356	18.149	-3.583	-3.352	0.392	0.03	25.99	42.471	540.433	2018-09-12 07:25:00
2018-09-17 14:40:00	5.37	308.188	10.771	3.258	-7.34	1.282	0.04	29.16	70.29399871826172	515.0	2018-09-17 15:05:00
2018-09-17 15:10:00	5.4	313.826	11.424	4.428	-6.11	1.895	0.07	20.50	59.292999267578125	512.317	2018-09-17 15:35:00
2018-09-17 15:40:00	5.35	314.757	12.048	5.632	-5.75	1.945	0.06	27.23	51.44900131225586	506.633	2018-09-17 16:05:00
2018-09-18 01:40:00	6.62	313.139	20.486	2.94	-3.125	1.525	0.07	24.17	54.21900177001953	535.733	2018-09-18 02:05:00
2018-09-19 06:10:00	6.98	269.669	23.531	-0.98	-2.135	-1.152	0.05	20.62	67.838	462.85	2018-09-19 06:35:00
2018-09-19 09:45:00	6.37	226.154	22.166	3.665	-0.242	-0.977	0.03	19.01	15.3149995803833	444.667	2018-09-19 10:10:00
2018-09-19 10:20:00	6.45	258.025	21.901	3.423	-1.11	-1.092	0.02	17.91	26.142000198364258	439.517	2018-09-19 10:45:00
2018-09-19 10:50:00	6.12	267.664	21.664	3.738	-1.23	-0.872	0.05	7.62	24.06999969482422	439.417	2018-09-19 11:15:00
2018-09-19 13:00:00	6.03	290.573	20.524	3.835	-1.412	-0.263	0.04	15.86	23.673999786376953	434.233	2018-09-19 13:25:00
2018-09-19 14:25:00	6.12	260.958	19.673	3.895	-1.138	-0.867	0.08	10.76	22.038999557495117	429.717	2018-09-19 14:50:00
2018-09-19 15:10:00	6.37	281.59	19.186	3.742	-0.97	-0.255	0.03	17.67	17.954999923706055	428.4	2018-09-19 15:35:00
2018-09-19 20:35:00	6.17	296.052	14.769	-2.947	-2.033	0.388	0.09	8.08	32.076	401.2	2018-09-19 21:00:00
2018-09-19 21:35:00	6.48	302.482	13.739	-1.58	-2.445	0.807	0.08	15.36	55.539	393.733	2018-09-19 22:00:00
2018-09-19 22:05:00	6.5	302.483	13.191	-1.302	-2.692	0.898	0.04	7.27	62.315	393.667	2018-09-19 22:30:00
2018-09-20 07:55:00	5.9	237.28	7.065	2.825	-0.538	-1.082	0.09	28.05	23.69499969482422	379.983	2018-09-20 08:20:00
2018-09-20 08:40:00	6.37	297.476	8.34	-0.068	-2.57	-0.202	0.09	18.16	85.982	379.317	2018-09-20 09:05:00
2018-09-20 12:10:00	5.98	276.928	13.038	1.365	-2.817	-1.325	0.09	23.21	68.30699920654297	363.9	2018-09-20 12:35:00
2018-09-20 12:40:00	6.03	275.695	13.592	1.493	-2.735	-1.33	0.05	15.68	65.53199768066406	363.683	2018-09-20 13:05:00
2018-09-20 13:10:00	6.1	277.6	14.123	0.898	-3.105	-1.335	0.03	8.37	76.80400085449219	364.167	2018-09-20 13:35:00
2018-09-20 14:50:00	6.2	312.751	15.749	1.063	-3.215	0.88	0.06	16.05	75.0260009765625	358.95	2018-09-20 15:15:00
2018-09-20 21:25:00	6.35	311.606	20.539	-1.103	-2.18	1.127	0.06	5.36	63.329	340.183	2018-09-20 21:50:00
2018-09-20 21:55:00	6.4	302.685	20.818	-0.348	-2.323	0.782	0.06	16.38	79.854	337.383	2018-09-20 22:20:00
2018-09-20 22:25:00	6.43	292.62	21.087	0.167	-2.368	0.365	0.07	8.23	88.2509994506836	334.4	2018-09-20 22:50:00
2018-09-20 22:55:00	6.4	293.703	21.346	0.157	-2.322	0.397	0.05	11.34	88.30000305175781	332.3	2018-09-20 23:20:00
2018-09-20 23:40:00	6.4	286.305	21.716	-0.348	-2.308	0.078	0.08	24.82	79.671	331.3	2018-09-21 00:05:00
2018-09-21 00:10:00	6.38	267.14	21.951	0.858	-1.64	-0.463	0.04	24.91	64.07599639892578	326.65	2018-09-21 00:35:00
2018-09-21 00:40:00	6.35	263.464	22.176	1.633	-1.138	-0.512	0.02	27.85	39.11800003051758	324.933	2018-09-21 01:05:00
2018-09-23 06:10:00	5.85	257.074	10.996	4.938	-2.667	-2.273	0.05	16.51	38.513999938964844	447.95	2018-09-23 06:35:00
2018-09-23 06:55:00	5.87	254.208	11.948	4.74	-2.412	-2.343	0.04	28.78	38.569000244140625	451.317	2018-09-23 07:20:00
2018-09-23 07:25:00	6.13	249.355	12.547	5.07	-1.807	-2.25	0.06	25.57	32.24100112915039	449.65	2018-09-23 07:50:00
2018-09-23 07:55:00	6.45	276.797	13.12	3.693	-3.45	-1.37	0.07	26.88	49.34600067138672	434.833	2018-09-23 08:20:00
2018-09-23 08:30:00	5.82	267.985	13.758	4.337	-2.36	-1.473	0.05	23.18	36.479000091552734	450.45	2018-09-23 08:55:00
2018-09-23 09:00:00	6.22	266.379	14.282	4.427	-2.163	-1.495	0.01	18.52	34.29199981689453	447.0	2018-09-23 09:25:00
2018-09-23 12:10:00	5.02	252.477	17.169	5.013	-4.138	-4.857	0.05	3.41	54.28099822998047	460.267	2018-09-23 12:35:00
2018-09-23 12:55:00	5.25	255.378	17.76	5.255	-4.907	-5.023	0.07	13.15	55.94499969482422	454.417	2018-09-23 13:20:00
2018-09-23 13:25:00	5.25	259.11	18.136	5.102	-5.657	-4.94	0.09	10.85	58.840999603271484	453.717	2018-09-23 13:50:00
2018-09-23 14:15:00	5.05	274.173	18.735	3.948	-7.825	-3.575	0.03	2.55	69.36699676513672	446.733	2018-09-23 14:40:00
2018-09-23 14:55:00	5.0	282.126	19.188	2.635	-8.318	-2.248	0.08	26.96	78.38200378417969	448.75	2018-09-23 15:20:00
2018-09-23 15:30:00	5.52	237.888	19.568	5.688	-3.372	-5.408	0.09	21.15	50.1619987487793	456.55	2018-09-23 15:55:00
2018-09-23 16:05:00	6.23	288.949	19.932	2.508	-7.647	-0.68	0.02	23.29	76.81400299072266	442.35	2018-09-23 16:30:00
2018-09-23 16:35:00	6.22	282.379	20.232	2.208	-7.742	-1.433	0.05	18.95	79.052001953125	445.817	2018-09-23 17:00:00
2018-09-23 17:20:00	6.38	288.897	20.662	-0.822	-7.512	-0.327	0.08	5.11	78.778	434.65	2018-09-23 17:45:00
2018-09-23 17:50:00	6.35	298.356	20.936	-2.058	-7.018	1.008	0.03	10.23	69.016	422.333	2018-09-23 18:15:00
2018-09-23 18:20:00	6.13	286.841	21.199	-0.962	-7.135	-0.285	0.04	20.72	77.8	427.283	2018-09-23 18:45:00
2018-09-23 22:35:00	5.0	246.074	23.06	5.233	-4.485	-3.497	0.02	6.99	50.65399932861328	438.55	2018-09-23 23:00:00
2018-09-24 19:40:00	6.9	292.53	23.994	1.92	-4.547	0.492	0.05	3.37	56.3849983215332	425.0	2018-09-24 20:05:00
2018-09-24 21:10:00	6.57	286.524	23.559	2.06	-4.275	0.153	0.08	5.49	69.76000213623047	429.617	2018-09-24 21:35:00
2018-09-24 22:10:00	5.63	269.988	23.228	3.462	-3.853	-0.937	0.03	29.76	53.89099884033203	410.883	2018-09-24 22:35:00
2018-09-26 10:20:00	6.32	301.645	19.082	-3.187	-2.685	-0.083	0.04	19.26	34.878	417.667	2018-09-26 10:45:00
2018-10-01 00:00:00	5.92	313.654	17.303	-4.447	-1.397	0.723	0.05	22.11	13.544	401.117	2018-10-01 00:25:00
2018-10-01 00:30:00	5.68	313.631	16.897	-4.832	-0.953	0.513	0.07	20.08	6.59	396.533	2018-10-01 00:55:00
2018-10-01 01:00:00	5.48	299.328	16.475	-5.023	-1.103	0.272	0.03	11.88	6.015	397.1	2018-10-01 01:25:00
2018-10-01 01:30:00	5.6	298.605	16.038	-4.932	-0.893	0.19	0.02	8.69	3.709	395.8	2018-10-01 01:55:00
2018-10-01 02:35:00	5.55	300.563	15.033	-4.748	-1.093	0.238	0.04	10.46	6.579	390.483	2018-10-01 03:00:00
2018-10-03 13:20:00	6.15	290.589	21.341	2.62	-6.173	-1.025	0.04	12.75	57.691001892089844	401.917	2018-10-03 13:45:00
2018-10-03 23:35:00	5.57	293.653	13.623	2.915	-6.96	1.2	0.09	9.50	58.46200180053711	485.8	2018-10-04 00:00:00
2018-10-04 00:15:00	6.03	295.523	12.883	3.315	-5.635	1.122	0.08	11.37	50.71099853515625	480.967	2018-10-04 00:40:00
2018-10-04 00:45:00	6.18	300.21	12.301	4.822	-3.735	0.95	0.07	12.98	29.621000289916992	494.467	2018-10-04 01:10:00
2018-10-04 02:05:00	6.18	307.005	10.61	5.028	-2.713	0.952	0.09	23.60	21.3439998626709	508.017	2018-10-04 02:30:00
2018-10-04 02:55:00	6.28	303.106	9.433	5.24	-2.867	0.685	0.05	24.62	20.910999298095703	494.6	2018-10-04 03:20:00
2018-10-04 03:25:00	6.18	298.485	8.672	5.2	-3.222	0.45	0.06	12.35	23.139999389648438	490.967	2018-10-04 03:50:00
2018-10-04 03:55:00	6.18	294.801	7.863	4.167	-3.83	0.207	0.06	10.53	33.891998291015625	485.35	2018-10-04 04:20:00
2018-10-04 11:45:00	6.18	291.085	10.05	1.775	-4.025	-0.77	0.04	17.81	57.262001037597656	398.7	2018-10-04 12:10:00
2018-10-04 13:20:00	5.82	246.863	12.114	4.158	-0.902	-1.183	0.02	15.54	17.735000610351562	398.4	2018-10-04 13:45:00
2018-10-07 05:30:00	6.6	263.628	7.102	2.24	-2.31	-1.46	0.07	23.23	56.638999938964844	356.183	2018-10-07 05:55:00
2018-10-10 06:05:00	6.68	303.384	13.87	1.852	-3.348	0.402	0.10	25.16	56.25600051879883	481.9	2018-10-10 06:30:00
2018-10-12 06:40:00	6.25	228.858	16.976	-1.473	-0.738	-2.047	0.03	28.15	55.352	420.133	2018-10-12 07:05:00
2018-10-14 19:50:00	5.88	311.174	21.189	2.362	-5.702	2.838	0.03	13.48	80.31700134277344	579.283	2018-10-14 20:15:00
2018-10-14 20:40:00	5.83	314.073	20.745	2.355	-4.983	2.972	0.05	28.89	78.55500030517578	578.45	2018-10-14 21:05:00
2018-10-14 23:05:00	6.25	258.571	19.294	-0.077	-5.105	-2.263	0.03	9.61	79.594	597.567	2018-10-14 23:30:00
2018-10-16 07:10:00	6.72	291.73	21.334	3.707	-0.677	-0.042	0.08	26.75	21.416000366210938	542.833	2018-10-16 07:35:00
2018-10-16 09:20:00	6.07	254.318	22.34	3.643	-0.995	-1.075	0.05	28.98	30.264999389648438	507.5	2018-10-16 09:45:00
2018-10-16 10:40:00	6.9	284.398	22.875	2.14	-2.562	-0.798	0.10	9.52	62.21200180053711	524.767	2018-10-16 11:05:00
2018-10-17 18:05:00	6.87	304.899	19.724	-0.445	-2.84	0.89	0.05	18.21	71.894	423.683	2018-10-17 18:30:00
2018-10-17 18:35:00	6.78	299.163	19.406	-0.092	-3.055	0.692	0.08	11.32	78.486	421.0	2018-10-17 19:00:00
2018-10-17 19:05:00	6.83	299.189	19.077	-0.093	-3.002	0.738	0.05	6.99	78.654	414.883	2018-10-17 19:30:00
2018-10-17 19:35:00	6.68	301.34	18.735	-0.182	-2.952	0.895	0.05	23.17	77.192	411.567	2018-10-17 20:00:00
2018-10-18 01:35:00	6.15	274.772	13.508	2.527	-0.54	-0.105	0.10	22.63	21.10099983215332	373.983	2018-10-18 02:00:00
2018-10-18 02:05:00	6.28	279.01	12.953	2.102	-1.203	-0.167	0.06	17.47	38.81999969482422	371.85	2018-10-18 02:30:00
2018-10-18 03:55:00	5.67	286.908	10.696	2.65	-1.153	-0.068	0.03	14.99	32.25199890136719	355.85	2018-10-18 04:20:00
2018-10-18 04:45:00	6.0	289.62	9.528	2.312	-1.228	-0.055	0.05	14.83	36.702999114990234	353.233	2018-10-18 05:10:00
2018-10-18 11:45:00	5.83	314.226	7.026	2.317	-2.147	0.527	0.08	7.14	52.404998779296875	350.683	2018-10-18 12:10:00
2018-10-18 12:15:00	5.83	301.944	7.888	1.963	-2.583	0.103	0.08	20.98	61.71699905395508	350.6	2018-10-18 12:40:00
2018-10-18 12:45:00	5.72	296.852	8.694	1.64	-2.892	-0.113	0.03	12.26	68.98300170898438	349.783	2018-10-18 13:10:00
2018-10-18 14:20:00	6.37	286.087	10.96	-0.058	-2.535	-0.453	0.07	4.04	80.653	346.0	2018-10-18 14:45:00
2018-10-18 15:30:00	6.18	275.07	12.412	-1.748	-2.473	-0.828	0.07	7.27	48.573	345.85	2018-10-18 15:55:00
2018-10-18 16:20:00	6.37	300.051	13.36	-1.5	-2.48	0.373	0.09	7.47	50.611	345.033	2018-10-18 16:45:00
2018-10-18 17:10:00	6.18	289.501	14.245	-1.093	-2.83	0.0	0.06	8.35	60.568	339.833	2018-10-18 17:35:00
2018-10-18 17:45:00	6.0	285.888	14.83	-1.938	-2.655	-0.1	0.09	17.35	45.773	342.3	2018-10-18 18:10:00
2018-10-18 18:15:00	6.0	293.963	15.311	-1.583	-2.718	0.337	0.09	11.63	51.866	339.183	2018-10-18 18:40:00
2018-10-18 20:05:00	6.53	269.683	16.928	-1.423	-2.15	-0.532	0.07	6.21	49.705	339.3	2018-10-18 20:30:00
2018-10-18 20:40:00	6.13	281.943	17.399	-0.892	-3.022	-0.037	0.06	20.07	65.69	333.717	2018-10-18 21:05:00
2018-10-18 21:25:00	6.03	301.001	17.976	-0.14	-2.948	1.003	0.06	17.39	79.612	327.233	2018-10-18 21:50:00
2018-10-18 21:55:00	5.8	297.447	18.343	0.287	-3.087	0.858	0.04	4.90	87.261	322.2	2018-10-18 22:20:00
2018-10-18 22:25:00	5.72	299.756	18.698	0.377	-2.923	0.95	0.07	5.12	89.309	318.2	2018-10-18 22:50:00
2018-10-18 22:55:00	5.73	292.583	19.041	0.598	-2.89	0.557	0.06	9.65	86.2040023803711	316.1	2018-10-18 23:20:00
2018-10-18 23:40:00	6.07	286.176	19.532	0.232	-2.665	0.187	0.10	10.53	87.046	319.467	2018-10-19 00:05:00
2018-10-19 00:10:00	5.82	278.372	19.845	0.478	-3.033	-0.227	0.05	15.41	88.9800033569336	321.3	2018-10-19 00:35:00
2018-10-19 00:40:00	5.7	277.966	20.147	0.577	-3.143	-0.305	0.07	18.10	87.31500244140625	320.267	2018-10-19 01:05:00
2018-10-19 05:45:00	5.53	301.678	22.646	1.87	-2.255	0.265	0.06	16.63	58.34199905395508	312.117	2018-10-19 06:10:00
2018-10-19 06:25:00	5.67	281.264	22.903	1.238	-2.76	-0.765	0.04	27.46	74.1719970703125	316.033	2018-10-19 06:50:00
2018-10-20 04:35:00	5.4	257.824	23.773	-1.343	-3.36	-2.255	0.03	12.15	65.947	309.867	2018-10-20 05:00:00
2018-10-20 05:05:00	5.45	267.091	23.625	-1.605	-3.593	-1.745	0.04	9.13	61.67	312.867	2018-10-20 05:30:00
2018-10-20 05:35:00	5.55	273.971	23.469	-1.02	-3.588	-1.325	0.07	13.43	68.745	307.0	2018-10-20 06:00:00
2018-10-20 07:10:00	5.75	297.03	22.921	-0.055	-3.19	-0.045	0.07	24.45	81.95	298.2	2018-10-20 07:35:00
2018-10-20 07:40:00	5.88	284.638	22.731	-0.783	-2.968	-0.742	0.06	18.17	68.758	301.75	2018-10-20 08:05:00
2018-10-20 08:15:00	5.57	288.851	22.498	-1.607	-3.393	-0.637	0.07	8.39	57.986	303.333	2018-10-20 08:40:00
2018-10-20 08:45:00	5.45	285.872	22.288	-1.705	-3.437	-0.875	0.09	8.59	57.303	303.183	2018-10-20 09:10:00
2018-10-20 09:25:00	5.62	285.396	21.995	-1.69	-3.223	-0.87	0.09	4.68	56.179	304.65	2018-10-20 09:50:00
2018-10-20 09:55:00	5.55	286.938	21.765	-1.828	-3.483	-0.857	0.02	7.09	55.99	305.367	2018-10-20 10:20:00
2018-10-20 11:50:00	5.72	249.32	20.793	-2.268	-2.087	-2.552	0.08	14.21	51.838	303.917	2018-10-20 12:15:00
2018-10-20 12:20:00	5.55	254.574	20.515	-1.917	-2.52	-2.515	0.04	8.77	57.255	304.267	2018-10-20 12:45:00
2018-10-20 13:15:00	5.55	296.714	19.979	0.502	-3.468	-0.09	0.08	22.51	88.91200256347656	295.933	2018-10-20 13:40:00
2018-10-20 13:45:00	5.57	278.135	19.671	-0.053	-3.383	-1.158	0.09	15.34	82.547	298.083	2018-10-20 14:10:00
2018-10-20 14:25:00	5.4	259.53	19.243	0.117	-3.283	-2.403	0.06	6.36	86.286	296.417	2018-10-20 14:50:00
2018-10-20 15:00:00	5.58	262.549	18.851	0.183	-3.062	-1.903	0.09	3.14	87.247	298.5	2018-10-20 15:25:00
2018-10-20 15:50:00	5.53	273.188	18.263	0.6	-3.405	-1.188	0.07	8.41	87.24700164794922	296.133	2018-10-20 16:15:00
2018-10-20 16:20:00	5.48	242.101	17.892	0.402	-2.638	-3.07	0.08	18.97	88.36799621582031	295.633	2018-10-20 16:45:00
2018-10-20 19:45:00	5.6	309.665	14.97	1.498	-3.08	1.492	0.09	27.16	73.43599700927734	291.083	2018-10-20 20:10:00
2018-10-20 22:05:00	5.4	266.708	12.487	0.64	-4.427	-1.168	0.10	7.23	88.7030029296875	292.5	2018-10-20 22:30:00
2018-10-20 22:35:00	5.42	279.029	11.888	1.263	-4.302	-0.178	0.04	9.05	80.70899963378906	290.917	2018-10-20 23:00:00
2018-10-20 23:30:00	5.9	294.181	10.715	2.077	-2.415	0.525	0.09	8.48	57.08100128173828	290.35	2018-10-20 23:55:00
2018-10-21 00:00:00	5.92	294.013	10.029	1.58	-2.68	0.558	0.05	10.27	67.16899871826172	290.5	2018-10-21 00:25:00
2018-10-24 10:10:00	5.58	253.255	16.002	-0.807	-3.242	-3.422	0.10	14.82	74.87	360.533	2018-10-24 10:35:00
2018-10-24 10:50:00	5.35	279.854	16.581	-0.923	-4.972	-1.818	0.09	13.34	72.271	357.95	2018-10-24 11:15:00
2018-10-24 11:20:00	5.18	270.223	16.997	1.502	-4.443	-2.482	0.05	15.96	80.68800354003906	351.05	2018-10-24 11:45:00
2018-10-24 11:50:00	5.3	292.836	17.398	0.772	-5.148	-0.573	0.04	12.00	89.98699951171875	349.617	2018-10-24 12:15:00
2018-10-24 12:20:00	5.4	292.079	17.785	0.458	-5.148	-0.598	0.03	13.24	86.635	348.083	2018-10-24 12:45:00
2018-10-24 13:00:00	5.67	292.197	18.28	1.988	-3.973	-0.385	0.09	8.69	71.89900207519531	341.417	2018-10-24 13:25:00
2018-10-24 13:35:00	5.92	292.313	18.694	0.788	-3.732	-0.273	0.08	16.46	86.50900268554688	338.533	2018-10-24 14:00:00
2018-10-24 16:15:00	6.13	291.798	20.382	2.498	-2.807	0.068	0.09	15.36	56.553001403808594	324.833	2018-10-24 16:40:00
2018-10-24 18:40:00	6.32	232.796	21.65	3.257	-0.605	-0.793	0.06	11.72	22.304000854492188	317.667	2018-10-24 19:05:00
2018-10-24 19:10:00	6.33	243.879	21.884	3.23	-0.983	-0.822	0.06	12.66	27.761999130249023	318.25	2018-10-24 19:35:00
2018-10-24 19:40:00	6.28	246.422	22.109	3.185	-1.143	-0.85	0.02	9.74	30.361000061035156	316.583	2018-10-24 20:05:00
2018-10-24 20:10:00	6.33	241.932	22.325	2.935	-1.388	-1.182	0.06	11.36	37.762001037597656	318.367	2018-10-24 20:35:00
2018-10-24 20:40:00	6.1	255.574	22.531	2.73	-1.813	-0.877	0.05	14.64	43.32600021362305	310.833	2018-10-24 21:05:00
2018-10-24 21:40:00	5.97	264.549	22.919	2.6	-1.97	-0.573	0.07	7.07	45.387001037597656	304.933	2018-10-24 22:05:00
2018-10-26 22:55:00	6.0	292.543	7.889	0.272	-4.332	0.95	0.07	7.32	84.12	403.85	2018-10-26 23:20:00
2018-10-26 23:45:00	5.98	283.118	9.203	0.483	-4.127	0.168	0.07	12.40	87.268	401.883	2018-10-27 00:10:00
2018-10-27 00:55:00	5.93	281.298	10.844	-0.188	-4.058	-0.052	0.08	12.88	78.039	405.717	2018-10-27 01:20:00
2018-10-27 06:50:00	5.78	241.494	16.984	-2.928	-1.295	-1.772	0.08	21.65	32.912	413.017	2018-10-27 07:15:00
2018-10-27 12:10:00	5.78	275.923	20.612	1.708	-2.712	-1.113	0.06	4.86	68.0999984741211	387.783	2018-10-27 12:35:00
2018-10-27 12:40:00	5.8	287.489	20.885	1.767	-2.72	-0.492	0.08	17.79	66.40299987792969	384.967	2018-10-27 13:05:00
2018-10-27 13:50:00	6.33	276.277	21.485	1.152	-2.5	-0.887	0.07	18.51	74.99500274658203	388.033	2018-10-27 14:15:00
2018-10-27 16:40:00	6.22	294.937	22.729	1.397	-2.753	0.3	0.08	19.55	72.13800048828125	369.6	2018-10-27 17:05:00
2018-10-27 17:55:00	5.95	288.954	23.188	1.877	-2.527	0.125	0.07	27.99	62.194000244140625	359.75	2018-10-27 18:20:00
2018-10-27 19:20:00	5.52	283.492	23.646	2.225	-2.548	0.008	0.09	15.44	57.5260009765625	350.283	2018-10-27 19:45:00
2018-10-28 15:25:00	6.02	253.234	23.706	-1.247	-2.203	-1.76	0.08	22.01	60.862	328.617	2018-10-28 15:50:00
2018-10-28 15:55:00	6.1	262.101	23.555	-1.202	-2.417	-1.315	0.05	6.76	59.873	329.767	2018-10-28 16:20:00
2018-10-28 16:25:00	6.13	277.953	23.396	-1.547	-2.228	-0.468	0.05	19.37	48.704	325.683	2018-10-28 16:50:00
2018-10-28 17:10:00	5.55	266.417	23.142	-0.562	-3.437	-1.333	0.08	11.87	74.229	333.633	2018-10-28 17:35:00
2018-10-28 17:40:00	5.45	267.705	22.962	-0.835	-3.587	-1.213	0.04	6.46	70.386	332.133	2018-10-28 18:05:00
2018-10-28 18:10:00	5.57	269.372	22.774	-1.222	-3.455	-0.975	0.07	8.22	63.778	333.667	2018-10-28 18:35:00
2018-10-28 18:40:00	5.65	269.352	22.577	-1.845	-3.203	-0.842	0.07	12.88	53.67	331.55	2018-10-28 19:05:00
2018-10-28 19:10:00	5.62	283.921	22.372	-1.857	-3.328	0.058	0.09	12.16	53.11	329.883	2018-10-28 19:35:00
2018-10-28 19:55:00	6.2	308.582	22.047	-0.46	-2.4	1.21	0.09	21.67	73.093	330.433	2018-10-28 20:20:00
2018-10-28 20:40:00	5.53	264.7	21.702	-3.01	-2.353	-0.662	0.07	22.76	32.29	330.667	2018-10-28 21:05:00
2018-10-28 21:10:00	5.73	268.812	21.46	-3.015	-2.335	-0.478	0.05	3.74	30.92	329.2	2018-10-28 21:35:00
2018-10-28 21:40:00	5.68	270.224	21.208	-2.825	-2.565	-0.438	0.05	6.48	35.295	326.733	2018-10-28 22:05:00
2018-10-28 22:10:00	5.52	278.786	20.947	-3.108	-2.307	-0.038	0.04	4.53	29.088	323.467	2018-10-28 22:35:00
2018-10-28 22:40:00	5.1	273.335	20.676	-3.28	-2.123	-0.277	0.07	22.88	26.429	319.583	2018-10-28 23:05:00
2018-10-28 23:10:00	5.58	266.002	20.394	-2.82	-2.302	-0.583	0.07	11.78	33.234	320.85	2018-10-28 23:35:00
2018-10-29 10:25:00	6.15	312.455	10.317	-1.847	-3.078	0.725	0.08	8.04	52.761	307.817	2018-10-29 10:50:00
2018-10-29 10:55:00	5.83	305.117	9.609	-1.15	-4.14	0.45	0.07	4.96	67.425	308.583	2018-10-29 11:20:00
2018-10-30 07:45:00	5.83	313.613	20.623	0.447	-3.61	1.08	0.08	24.88	89.96	309.683	2018-10-30 08:10:00
2018-10-30 09:25:00	5.72	276.71	21.496	-0.705	-3.552	-1.445	0.09	17.90	73.637	307.617	2018-10-30 09:50:00
2018-10-30 10:50:00	5.75	294.119	22.154	0.162	-4.193	-0.352	0.09	25.53	85.447	309.017	2018-10-30 11:15:00
2018-10-30 11:20:00	5.93	289.491	22.369	-0.702	-4.14	-0.648	0.04	11.72	73.704	312.233	2018-10-30 11:45:00
2018-10-30 11:50:00	5.83	290.98	22.575	-0.278	-4.255	-0.505	0.06	23.47	79.405	310.733	2018-10-30 12:15:00
2018-10-30 12:40:00	5.82	283.343	22.898	-3.283	-2.818	-0.663	0.07	28.69	35.79	313.1	2018-10-30 13:05:00
2018-10-30 13:10:00	5.87	308.16	23.081	-1.865	-3.315	0.693	0.05	27.63	54.694	310.967	2018-10-30 13:35:00
2018-10-31 12:00:00	6.03	294.979	23.411	1.87	-4.067	-0.18	0.09	10.14	72.5479965209961	322.217	2018-10-31 12:25:00
2018-11-01 02:20:00	6.6	269.288	14.633	2.843	-3.165	-0.807	0.10	3.42	55.83399963378906	332.383	2018-11-01 02:45:00
2018-11-01 02:50:00	6.58	272.15	14.126	3.19	-2.95	-0.667	0.03	5.87	50.35599899291992	330.217	2018-11-01 03:15:00
